text,pages,sections
established the Lanka Sama Samaja Party in Sri Lanka in 1935 to implement such politics in a way suitable to Sri Lanka. The prime objective of the Lanka Sama Samaja Party was to create a communist society in Sri Lanka according to the,[93],['Congress were functioning.']
"doctrine of leftist political points of view. Later a fraction of the Lanka Sama Samaja Party headed by Dr. S. A. Wickramasinghe established the Lanka Communist Party Though by 1946, there were several leftist parties and minority parties, there was",[93],"['Congress were functioning.', 'in 1943.']"
no party for the politicians who had neutral ideas. was started in 1946 under the leadership of Mr. D.S. parliamentary election was scheduled in 1947. The majority of the members of the,[93],['in 1943.']
"Lanka National Congress and the Sinhala Maha Sabha headed by Mr. S. W. R. D. Bandaranayake joined the United National Party. As a result, it became a powerful political party from the beginning.",[93],['Lanka National Congress and the Sinhala Maha Sabha headed by Mr. S. W. R. D.']
They were able to win 42 seats by presenting 95 They were able to establish a government in1952 by winning 54 seats in the second parliamentary election. Mr. S. W. R. D. Bandaranayake broke away from the United National Party and,[93],"['Lanka National Congress and the Sinhala Maha Sabha headed by Mr. S. W. R. D.', 'contesters. They were able to establish a government in1952 by winning 54 seats in']"
"established Sri Lanka Freedom Party in 1951. This party paid more attention on the necessities of general public than the UNP and was able to win the support of the vernacular scholars, monks and those who valued nationalism.",[93],['contesters. They were able to establish a government in1952 by winning 54 seats in']
that won only 9 seats in the 1951 parliamentary election contested as the Mahajana Eksath Peramuna by aligning with several other parties and was able to establish the government in 1956 election by securing 51 seats. the Prime Minister of Sri Lanka from 1956 to 1959.,[93],['contesters. They were able to establish a government in1952 by winning 54 seats in']
"After the assassination of Mr. Bandaranayake, his wife Mrs. Sirimavo Bandaranayake became the leader of the Other than the above parties that presented candidates around the country in elections, there were several parties which were in function.","[93, 94]",['contesters. They were able to establish a government in1952 by winning 54 seats in']
pioneered by Mr. A. E. Gunasinghe and the Tamil Congress started by Mr. G. G. Ponnambalam are some examples for such parties. held a significant place until the 1956 election. They who paid special attention on,[94],['contesters. They were able to establish a government in1952 by winning 54 seats in']
the rights of the Tamil people in this country were able to secure 07 seats in the It seems that the Tamil Congress lost its public support when Mr. J. V. Chelvanayagam started the Federal Party in 1949. According to the political party system that exists in Sri Lanka there are a number,[94],"['1947 election. It seems that the Tamil Congress lost its public support when Mr. J. V.', 'Chelvanayagam started the Federal Party in 1949.', 'contesters. They were able to establish a government in1952 by winning 54 seats in']"
"of minor parties other than the two major parties like United National Party and Sri Because of that, there can be situations in which no party can claim a majority in an election. As a result several parties have to come together and",[94],"['Chelvanayagam started the Federal Party in 1949.', 'Lanka Freedom Party. Because of that, there can be situations in which no party can', 'claim a majority in an election. As a result several parties have to come together and']"
make political aligns to establish a coalitional government.  1956 Election and the Social Change The United National Party which was in power continuously after the independence was defeated in 1956 and a new government was established under the leadership,[94],['claim a majority in an election. As a result several parties have to come together and']
"It is believed that a social revolution was made by that government because several new forces were rallied round Mr. Bandaranayake to follow a policy of valuing the native language, religion and culture and to attempt to solve some unresolved social and economic problems.",[94],['claim a majority in an election. As a result several parties have to come together and']
"Senanayake who became the Prime Minister in the 1947 election died in March, 1952, his son Dudley Senanayake became the Prime Minister. He became the Prime Minister again in 1952 because the United National Party But he resigned from his portfolio in 1953 because of the",[94],['claim a majority in an election. As a result several parties have to come together and']
"remonstrations that were staged by the leftist parties in protest of rising price of Then, another senior member of United National Party, Mr. John Kothalawala became the Prime Minister. election was scheduled in May 1957, the Governor General dissolved the parliament",[94],['claim a majority in an election. As a result several parties have to come together and']
"in February 1956 as instructed by the Prime Minister, Mr. John Kothalawala. result there was another election in the country. In the 1956 election, the United National Party contested as a single party where as Sri Lanka Freedom party contested as Mahajana Eksath Peramuna aligning in","[94, 95]","['In the 1956 election, the United National Party contested as a single party where', 'in February 1956 as instructed by the Prime Minister, Mr. John Kothalawala. As a']"
"The Sri Lanka Freedom party, Revolutionary Socialist Party headed by Mr. Philip Gunawardane, Mr. Vijayananda Dahanayake’s Language Congress and several independent candidates including Mr. came together in forming the Mahajana Eksath Peramuna.",[95],"['Congress and several independent candidates including Mr. I. M. R. A. Eeriyagolla', 'In the 1956 election, the United National Party contested as a single party where', 'came together in forming the Mahajana Eksath Peramuna. The Mahajana Eksath']"
"Peramuna had entered into a no contest agreement with the Lanka Sama Samaja Party and it became advantageous for both the parties. The major issue discussed in the 1956 election stage was the policy of making Sinhala Even after obtaining independence, English language held a",[95],['came together in forming the Mahajana Eksath Peramuna. The Mahajana Eksath']
"special position and it became problematic for the vernacular scholars. that, those who rallied round the Mahajana Eksath Peramuna had already accepted Sinhala naming as the state language as a policy. agreed with this policy when the election came at hand.",[95],['came together in forming the Mahajana Eksath Peramuna. The Mahajana Eksath']
"The Mahajana Eksath Peramuna won the election easily because of the support of the Pancha Maha Balavega; monks , doctors , teachers , farmers and labourers were At the same time, fighting as an align signing a no contest agreement with the leftist parties further helped them to win.",[95],['came together in forming the Mahajana Eksath Peramuna. The Mahajana Eksath']
They secured 51 seats and the Lanka Sama Samaja Party got 14 seats. The United National Party won 8 parliamentary The Federal Party won 10 seats.,[95],['came together in forming the Mahajana Eksath Peramuna. The Mahajana Eksath']
"With the victory of Mahajana Eksath Peramuna, Mr. S. W. R. D. Bandaranayake His time marked significant changes in the country. Some of his policies and introduced reforms are; • Making Sinhala the state language",[95],['came together in forming the Mahajana Eksath Peramuna. The Mahajana Eksath']
• Discontinuation of the defence and external affairs conventions signed in 1947 • A non-alliance foreign affairs policy • Peoplizing the harbour and transport (buses ) • Development of local industries and agriculture,[95],"['came together in forming the Mahajana Eksath Peramuna. The Mahajana Eksath', 'with the British']"
• Upgrading the Vidyodaya and Vidyalankara pirivenas to universities with a view of developing the higher education Fig 6.1 The Cabinet of Ministers of Mr. Bandaranayake Mr. Bandaranayake’s campaign paved the way for many leaders who emerged from,"[95, 96]","['view of developing the higher education', 'with the British']"
the general public of the country to enter the parliament. the policy that valued the nationality and the attempt to solve the unsolved problems of the general public were significant landmarks.  Sri Lanka becoming a Republic in 1972,[96],['view of developing the higher education']
The Soulbury constitution continued from 1948–1972 in the country. independence Sri Lanka received under this constitution was not complete because still the queen of Britain was considered the leader of the country and there were certain restrictions for the parliament to follow in imposing laws.,[96],"['certain restrictions for the parliament to follow in imposing laws. As a result, the', 'independence Sri Lanka received under this constitution was not complete because', 'view of developing the higher education']"
"necessity of a new constitution was felt during the time of the Soulbury Commission. A successful attempt was made for that with the 1970 election. A united align had been established to face the 1970 election by the Sri Lanka Freedom Party, the Lanka Sama Samaja party and the Communist Party.",[96],"['certain restrictions for the parliament to follow in imposing laws. As a result, the']"
signed a treaty of understanding to contest in the election. people's verdict for the winners to work as a constitutional council to design a new The Samagi Peramuna (United Alliance) that won the majority of seats in the election established a new government.,[96],"['certain restrictions for the parliament to follow in imposing laws. As a result, the', 'constitution. The Samagi Peramuna (United Alliance) that won the majority of seats', 'in the election established a new government. Mrs. Sirimavo Bandaranaike became']"
Mrs. Sirimavo Bandaranaike became They introduced a new constitution on 22nd May 1972 working according to the people's verdict. It's named as the 1972 Constitution.,[96],['in the election established a new government. Mrs. Sirimavo Bandaranaike became']
Basic characteristics of the 1972 constitution • The name ‘Ceylon’ was changed to ‘ Sri Lanka • Discontinuation of the constitutional bond that existed with Britain with • Acceptance of Sri Lanka as a unitary republic,[97],"['in the election established a new government. Mrs. Sirimavo Bandaranaike became', 'territorial integrity']"
"• Protection of basic human rights The statement 18 of the 1972 constitution mentions the following as some basic human rights and the comprehensive freedom. • Functioning of law , the protection of law and other legal affairs should be",[97],['territorial integrity']
"• A person’s life, freedom or protection should not be harmed if otherwise the law. • Every person has the right to enjoy free thinking, conscience and religion. • Citizens have freedom for peaceful gathering and expressing their opinions. Acceptance of basic human rights in the constitution was a special characteristic.",[97],['completely impartial.']
"Instead of the post of governor general of the Soulbury Commission, the new constitution introduced the post of nominal executive president. enjoyed the power of appointing the president.",[97],"['Commission, the new constitution introduced the post', 'Instead of the post of governor general of the Soulbury']"
"president had the same power enjoyed by the governor The then Governor General, Mr. William Gopallawa became the first nominal executive Fig 6.2 Mr. William Gopallawa, the first",[97],"['Commission, the new constitution introduced the post', 'Gopallawa became the first nominal executive']"
nominal executive president of Sri Lanka The legislature named as the parliament before 1972 was named as the National State Council in the new constitution. It consisted of members elected through the,[97],['nominal executive president of Sri Lanka']
"This council functioned the people's legislative power. entire power of imposing law was vested upon the National State Council which addition, the Ceylon Workers’ Congress and an independent had a duration of power of 6 years. As the United National Party could","[97, 98]",['nominal executive president of Sri Lanka']
"obtain more than a two third majority, its leader, Mr. J. R. Jayewardene was able to design a new constitution with an  The Prime Minister and the Cabinet of Ministers executive presidency as he expected for a long time. constitution came into effect since 1978.",[98],"['constitution came into effect since 1978.', 'nominal executive president of Sri Lanka']"
The functioning of the executive power was vested upon the cabinet of ministers in The chief of the cabinet was the prime minister. appointed the prime minister and under his guidance the president appointed the Sri Lanka was named as the Democratic Socialist Republic of Sri Lanka in the new,[98],['constitution came into effect since 1978.']
constitution and it was declared a unitary state. The constitution mentions about the people's supremacy at its very beginning. The people's constitutional power is put,[98],['constitution and it was declared a unitary state. The constitution mentions about the']
A new judiciary system was proposed for the purpose of determining justice under into function by the elected members and by the people themselves in referendums. The executive power of the people is put into function by the president elected by The judicial power of the people is put into application by the judiciary system,[98],"['High Court', 'constitution and it was declared a unitary state. The constitution mentions about the', 'into function by the elected members and by the people themselves in referendums.']"
established according to the constitution. Some distinguished features of this constitution are; The two major institutions in the judiciary were the Supreme Court and the High The district courts were responsible in solving the cases in the particular  Executive Presidency,[98],"['Constitutional Court', 'Court. The district courts were responsible in solving the cases in the particular \uf076 Executive Presidency', 'District Court']"
"The magistrate's court took the criminal cases. consultancy board and a judiciary service disciplinary board were established to According to the 30th statement of the 1978 constitution, the president of the Republic of Sri Lanka is the head of the government, head of the executive, head of protect the sovereignty of the judiciary.",[98],"['Court. The district courts were responsible in solving the cases in the particular \uf076 Executive Presidency', 'consultancy board and a judiciary service disciplinary board were established to According to the 30th statement of the 1978 constitution, the president of the']"
"The labour courts functioned under these the parliament and the chief commander of the military forces. became the highest executive in the government enjoying comprehensive executive According to this constitution, the president is elected by the people in an",[98],"['consultancy board and a judiciary service disciplinary board were established to According to the 30th statement of the 1978 constitution, the president of the']"
"The Constitutional court had been established to settle the problems about The duration of the president is six years. constitution and to observe whether the bills presented to parliament agree with the The president enjoys the power of summoning a parliamentary session, declaration",[98],"['constitution and to observe whether the bills presented to parliament agree with the', 'constitution. \uf076 Powers of the President', 'consultancy board and a judiciary service disciplinary board were established to According to the 30th statement of the 1978 constitution, the president of the']"
"of the end of a session, chairing the first meeting of a parliament after an election, The United National Party was able to win 140 out of 168 seats of the National State presenting the policies of the government, and dissolving the parliament. Council in the election held in 1977.",[98],"['Council in the election held in 1977. The Tamil Liberation Front secured 18 seats in', 'constitution. \uf076 Powers of the President']"
"The Tamil Liberation Front secured 18 seats in even though the president is not a member of the parliament, he or she could enjoy this election where as the Sri Lanka Freedom Party could win only 8 seats. some powers with regard to the legislature.",[98],['Council in the election held in 1977. The Tamil Liberation Front secured 18 seats in']
"addition, the Ceylon Workers’ Congress and an independent As the United National Party could obtain more than a two third majority, its leader, Mr. J. R. Jayewardene was able to design a new constitution with an",[99],['Council in the election held in 1977. The Tamil Liberation Front secured 18 seats in']
executive presidency as he expected for a long time. constitution came into effect since 1978. Sri Lanka was named as the Democratic Socialist Republic of Sri Lanka in the new constitution and it was declared a unitary state.,[99],"['Council in the election held in 1977. The Tamil Liberation Front secured 18 seats in', 'constitution and it was declared a unitary state. The constitution mentions about the', 'constitution came into effect since 1978.']"
The constitution mentions about the people's supremacy at its very beginning. The people's constitutional power is put into function by the elected members and by the people themselves in referendums.,[99],"['constitution and it was declared a unitary state. The constitution mentions about the', 'into function by the elected members and by the people themselves in referendums.']"
The executive power of the people is put into function by the president elected by The judicial power of the people is put into application by the judiciary system established according to the constitution. Some distinguished features of this constitution are;,[99],['into function by the elected members and by the people themselves in referendums.']
"According to the 30th statement of the 1978 constitution, the president of the Republic of Sri Lanka is the head of the government, head of the executive, head of the parliament and the chief commander of the military forces. became the highest executive in the government enjoying comprehensive executive",[99],['into function by the elected members and by the people themselves in referendums.']
"According to this constitution, the president is elected by the people in an The duration of the president is six years. The president enjoys the power of summoning a parliamentary session, declaration of the end of a session, chairing the first meeting of a parliament after an election,",[99],['into function by the elected members and by the people themselves in referendums.']
"presenting the policies of the government, and dissolving the parliament. even though the president is not a member of the parliament, he or she could enjoy some powers with regard to the legislature. The president works as the head of the cabinet by appointing the prime minister","[99, 100]",['into function by the elected members and by the people themselves in referendums.']
"and ministers and by deciding the portfolios of the ministers. The president enjoys some powers related to the judiciary such as ; appointing the judges of the supreme court and appeal court including the chief justice, pardoning a convict sentenced by a court and reducing punishments.",[100],['into function by the elected members and by the people themselves in referendums.']
"The president enjoys some more powers as the head of the state. war and peace, chairing state functions, representing the republic in international events, being the custodian of the state frank are some examples of such powers. A very special privilege held by the president is that he / she cannot be taken to any",[100],['into function by the elected members and by the people themselves in referendums.']
"court for any deed rendered as the president, according to the constitution.  The Prime Minister and the Cabinet • The president enjoys the power of appointing the cabinet of ministers from the members of the parliament.",[100],"['court for any deed rendered as the president, according to the constitution.']"
"• The power enjoyed by the prime minister in the 1972 constitution was transformed to the president, who is the head of the cabinet according to the new • The cabinet has a collective responsibility for the parliament. • The cabinet has its own specific duties.",[100],"['constitution.', 'court for any deed rendered as the president, according to the constitution.']"
(i) Functioning of imposed laws by the parliament. (ii) Preparation of budget estimates and interim bills of the ministries. (i) Being in charge of the allocated subjects. This constitution established the parliament instead of the legislature which was,[100],['constitution.']
called as the National State Council in the 1972 constitution. 196 members are elected following the proportionate representative system and based on the proportions of votes received by each party 29 members are selected from the national list.,[100],['called as the National State Council in the 1972 constitution. The parliament consists']
Some of the powers of the parliament are; • Preparation of development plans An independent judiciary was introduced in the 1978 constitution. According to the judiciary the highest court in the country is the Supreme Court.,"[100, 101]",['called as the National State Council in the 1972 constitution. The parliament consists']
"The chief of the Supreme Court, the Chief Justice and other judges of both Supreme Court and Appeal Court are appointed by the president. cases, considering the impeachment motions that are presented to the parliament, trialing the cases of violation of parliamentary privileges, conducting court",[101],"['Court and Appeal Court are appointed by the president. Taking the fundamental right', 'called as the National State Council in the 1972 constitution. The parliament consists', 'cases, considering the impeachment motions that are presented to the parliament,']"
procedures about election petitions are some of the Supreme Court responsibilities. The appeal court has the power to consider the appeals that are made against the decisions of the lower courts. The Judiciary Service Commission was appointed to protect the freedom of the,"[101, 102]","['cases, considering the impeachment motions that are presented to the parliament,']"
"judiciary and to protect the impartiality of judges. of the commission including two more judges of the Supreme Court as members. The Judiciary Service Commission is responsible about the transfers of high court judges, training of judiciary officers, promotions and discipline of them.",[102],"['cases, considering the impeachment motions that are presented to the parliament,']"
"The third chapter of the 1978 constitution explains the fundamental rights. constitution broadly and in detail explains the fundamental rights than the 1972 Among the fundamental rights mentioned in the constitution, equal rights for judiciary procedures, freedom of speech and opinion , right of being free of",[102],"['cases, considering the impeachment motions that are presented to the parliament,', 'constitution broadly and in detail explains the fundamental rights than the 1972', 'constitution did.']"
"harassment, freedom of religion and freedom of profession are included. The 1978 constitution goes beyond the 1972 constitution to mention in its statement 129 that a person can forward a petition to the Supreme Court within three months of such violation of fundamental rights or comprehensive freedom.",[102],"['129 that a person can forward a petition to the Supreme Court within three months', 'constitution did.']"
"are true, the supreme court gives judgments about it. The constitution includes provisions for a person to make a complaint to the parliamentary commissioner or the ombudsman when the rights of a person who works in the government or cooperation are limited or obstructed.",[102],['129 that a person can forward a petition to the Supreme Court within three months']
Types of elections mentioned in the 1978 constitution; Sri Lanka becomes one whole electorate in the presidential election. who can obtain a 50% majority or a definite majority is declared the winner. Mr. J. R. Jayewardene who was the Prime Minister in 1978 was nominated the,[102],['129 that a person can forward a petition to the Supreme Court within three months']
first executive president in Sri Lanka. Then a presidential election was held in Mr. J. R. Jayewardene was elected the president again in this election. second amendment to the 1978 constitution declared that the president could go,[102],"['129 that a person can forward a petition to the Supreme Court within three months', '1982. Mr. J. R. Jayewardene was elected the president again in this election. The']"
"for an election requesting power for a second session once four years out of six After Mr. J. R. Jayewardene; Mr. Ranasinghe Premadasa, Mr. D. B. Vijethunga ( not from an election ), Mrs. Chandrika Kumaranathunge , Mr. Mahinda Rajapaksha and Mr. Maithreepala Sirisena held the executive presidency","[102, 103]",['1982. Mr. J. R. Jayewardene was elected the president again in this election. The']
" Proportionate Representative System Another novel feature of the 1978 constitution is the proportionate representative This method is used in all elections including parliamentary, provincial council and the other local government elections.",[103],"['consecutively.', 'council and the other local government elections.']"
Candidates face this type of elections in groups. The number of members elected for each electorate is announced before the election and the voters have to first vote for the party and mark the preferences for the candidates.,[103],['Candidates face this type of elections in groups. The number of members elected for']
party is determined according to the proportion of votes they take and candidates are selected following the number of preference votes they get. Referendum is a way of getting the people's opinion directly on matters with national The concept of referendum was first introduced in 1978 constitution.,[103],"['Candidates face this type of elections in groups. The number of members elected for', 'importance. The concept of referendum was first introduced in 1978 constitution.']"
"Here, the people’s discretion is marked by answering a “yes or no” question. only referendum of the history of Sri Lanka was held in 1982. period of existing parliament extended. There should be more than 50% of the cast votes to declare that the people have",[103],['importance. The concept of referendum was first introduced in 1978 constitution.']
given their consent to the matter on discussion. 6.2 Development after Independence After the independence in 1948 politicians of this country had the responsibility of handling the economy of the country that had been used for the benefit of the,[103],"['6.2 Development after Independence', 'importance. The concept of referendum was first introduced in 1978 constitution.']"
"British colonists for the betterment of the people. During the four decades after the independence , the two major parties of Sri Lanka , the United National Party and the Sri Lanka Freedom Party were in power and they tried to develop the economy",[103],"['6.2 Development after Independence', 'independence , the two major parties of Sri Lanka , the United National Party and']"
"They had tried several ways to develop the agriculture , industries and The food needed for the people was produced within the country because Sri Lanka had been an agricultural country from the past. Yet, the British administration that","[103, 104]","['independence , the two major parties of Sri Lanka , the United National Party and']"
"lasted for 133 years paid attention to state plantation and did not pay enough attention to the local agriculture. The English imported the necessary food items to As a result, by the time Sri Lanka got the independence,",[104],['lasted for 133 years paid attention to state plantation and did not pay enough']
"a need had arisen to develop the production of food items within the country. every government had to take steps to develop paddy cultivation.  Development of Paddy Cultivation Towards the latter part of the British reign in Sri Lanka, they had to pay attention to",[104],['lasted for 133 years paid attention to state plantation and did not pay enough']
developing the agriculture in Sri Lanka because of the difficulty of exporting food due to the World War 1 and increasing food prices due to the economic demise in Yet the most productive attempt was made during the period of the State The reasons for the development of the paddy cultivation,[104],"['1929. Yet the most productive attempt was made during the period of the State', 'Council (1931–1947). The reasons for the development of the paddy cultivation', 'lasted for 133 years paid attention to state plantation and did not pay enough']"
during that era were appointing a Sri Lankan minister for the ministry of agriculture under the Donoughmore constitution and Mr. D. S. Senanayake who had an interest to develop the agriculture becoming the Minister of Agriculture. The flat and rich soil that was more suitable for paddy cultivation exists in the dry,[104],['Council (1931–1947). The reasons for the development of the paddy cultivation']
"zone of the country and therefore , that area should be used for paddy cultivation Therefore Mr. D. S. Senanayake started establishing farming settlements in  Establishment of Farming Settlements Objectives of establishing farming settlements:",[104],['Council (1931–1947). The reasons for the development of the paddy cultivation']
• Reducing the increasing population and unemployment in the wet zone. • Improving the food production of the country. • Using the land of the dry zone for economic development by repairing the old lakes and irrigations of the dry zone.,[104],"['Council (1931–1947). The reasons for the development of the paddy cultivation', 'lakes and irrigations of the dry zone.']"
• Providing a solution to the competition for the land in wet zone and creating a satisfied landed farming community. Sri Lanka became self – sufficient with paddy because a vast era of the dry zone was used for paddy cultivation.,"[104, 105]",['lakes and irrigations of the dry zone.']
"As a solution to the major problem that arose in the area, lack of water, our ancestors built a network of lakes and irrigations. the invasion of Kalinga Magha people had immigrated to the wet zone from the dry Using thus given up dry zone again for paddy cultivation after 700 years was",[105],['lakes and irrigations of the dry zone.']
a landmark of the development of paddy cultivation in Sri Lanka. Challenges the government faced in establishing new farming settlements: • Selecting people from the wet zone and making them settle in houses in the dry • Supporting people to turn the lands that had been forests for a long time into,[105],"['Challenges the government faced in establishing new farming settlements:', 'lakes and irrigations of the dry zone.']"
farm land and supplying irrigation facilities. • Providing the settlers with financial assistance till they get their first harvest. • Arranging health and education facilities for people. • Establishment of sales promotion programmes for the sale of products.,[105],['Challenges the government faced in establishing new farming settlements:']
"Several farming settlements could be started even before independence because there were effective plans to lay out necessary rules to overcome the difficulties. Some examples for such settlements were Kagama, Minneriya, Nachchaduwa, Beragama, Minipe, Parakrama Samudraya, Ridi Bedi Ella, Sangili Kanadarawa and",[105],['Challenges the government faced in establishing new farming settlements:']
"After independence till about 1953, 15 more farming settlements were Bathmadika, Deva Huwa, Girithale, Paniyankadawala, Iranamadu, Gal Oya, Kantale, Soraborawewa were such settlements. With these new farming settlements there was great enthusiasm in the country to",[105],['Challenges the government faced in establishing new farming settlements:']
reconstruct lakes and building of irrigation. Galoya project is an example for that. is the first multi-purpose development project started in Sri Lanka. The Mahaweli project takes an important place among the projects launched,[105],"['Challenges the government faced in establishing new farming settlements:', 'is the first multi-purpose development project started in Sri Lanka.']"
"targeting the economic development of the country after the independence. Mahaweli river that is fed by several tributaries begins in the western part of the central hills , flows across the Dumbara valley and joins sea at Trincomalee. Mahawali development project was launched with a view of using this web of rivers",[105],"['central hills , flows across the Dumbara valley and joins sea at Trincomalee. The', 'is the first multi-purpose development project started in Sri Lanka.']"
for the economic development of the country. Some objectives of the Mahaweli project: • Continuous water supply to the dry zone farm lands for productive agricultural • Production of electricity to cover the increasing demand for electricity.,"[105, 107]","['central hills , flows across the Dumbara valley and joins sea at Trincomalee. The']"
"• Creating more settlements through water supply and the expansion of cultivation of food by providing the landless people with lands. Other than these main objectives there were other objectives such as generating jobs and agricultural opportunities, controlling flood, breeding fresh water fish etc.",[107],"['central hills , flows across the Dumbara valley and joins sea at Trincomalee. The']"
"Thus, the Mahaweli project became a multi-purpose project. The first stage of the Mahaweli project was to build a dam at Pollgolla across the Mahaweli river to take water to Sudu Ganga and take that water to the dry zone via There were further plans to take water from this part to Kala",[107],"['central hills , flows across the Dumbara valley and joins sea at Trincomalee. The']"
"Wewa, Nachchaduwa Wewa, Nuwara Wewa, Thisa wewa and several other lakes. Mr. J.R. Jayewardene’s government which came into power in 1977 decided to complete this in 6 years and prepared an speedy plan of work. of the Mahaweli Development Board that existed, the Ministry of Mahaweli",[107],"['central hills , flows across the Dumbara valley and joins sea at Trincomalee. The', 'complete this in 6 years and prepared an speedy plan of work. Therefore , instead', 'in 30 years.']"
"Development was established in 1978 and Mr. Gamini Dissanayake was appointed The Mahaweli authority was established in 1979 because the necessity of an authority with high power was felt for the functioning of the Mahaweli project. Steps were taken to build reservoirs such as Kothmale, Victoria, Randenigala,","[107, 108]","['complete this in 6 years and prepared an speedy plan of work. Therefore , instead']"
"Rantambe, Ulhitiya, Rathkinda, Madru Oya; dams such as Minipe and some water This vast reservoir was made by building a dam, a little lower to the Polgolla dam. of the main objectives of building this dam",[108],"['This vast reservoir was made by building a', 'complete this in 6 years and prepared an speedy plan of work. Therefore , instead', 'of the main objectives of building this dam']"
was generating hydro–electricity. government provided aids for this project. The Kothmale reservoir was made by building a dam at Kadadora across Kothmale Oya,[108],"['The Kothmale reservoir was made by building', 'a dam at Kadadora across Kothmale Oya', 'of the main objectives of building this dam']"
which is one of the main tributaries of the Map 6.2 Water supply projects under the express Mahaweli Development The Randenigala reservoir was built a little lower to the Victoria reservoir and above the,[108],"['Randenigala Reservoir', 'The Randenigala reservoir was built a little', 'lower to the Victoria reservoir and above the', 'which is one of the main tributaries of the']"
"By storing Mahaweli water in reservoirs, The production of hydro – electricity , and supplying water for irrigations were the supplying water for both cultivated and yet to cultivate lands in the dry zone In addition to the production of electricity and providing water for",[108],"['and supplying water for irrigations were the', 'lower to the Victoria reservoir and above the']"
"agriculture , it made settlement of people, building of new cities and roads possible Map 6.2 Water supply projects under the express Mahaweli Development By storing Mahaweli water in reservoirs, The production of hydro – electricity , supplying water for both cultivated and yet to cultivate lands in the dry zone","[108, 109]","['Project', 'and supplying water for irrigations were the']"
"In addition to the production of electricity and providing water for agriculture , it made settlement of people, building of new cities and roads possible Other steps that that were taken to develop paddy cultivation: • Introduction of a certified price for paddy in 1948","[109, 110]",['Project']
• Establishment of paddy research institution and introduction of new paddy An example is Bathalegoda paddy breeding centre. • Establishment of farming service centres (Govijana Sewa Centres) • Giving loans to farmers through state banks.,[110],['Project']
" Cultivation for Commercial Purpose The products that were related to the traditional coconut plantation, tea and rubber introduced by the British existed as the major export products for about three decades after obtaining independence.",[110],['Project']
Several steps have been taken for the development of those crops after 1948. • Declaring a limited area of land that can be kept in possession of one person by the land rehabilitation law of 1972.,[110],['Project']
"Thus, the area of land that can be kept for one person were 10 hectares (25 acres) for paddy cultivation and 20 hectares (50 acres) • The lands of the commercial plantation companies were peopolized by the 1975 Because of these reforms about 62% of the land that belonged to those",[110],"['Project', 'land reforms. Because of these reforms about 62% of the land that belonged to those']"
"mega scale plantation companies was given to the government. lands were distributed among farmers as small pieces of land, a group of small scale The ownership of mega scale lands shifted from the private sector to the government Several institutions were established after gaining independence for the management",[110],"['land owners was created.', 'land reforms. Because of these reforms about 62% of the land that belonged to those', 'lands were distributed among farmers as small pieces of land, a group of small scale']"
• State Plantation Cooperation established in 1958. • Upcountry Estate Development Bureau established in 1976. • People’s Estate Development Bureau established in 1976. Sri Lanka could export rubber products to China as a result of the bilateral,"[110, 111]",['land owners was created.']
"convention signed between the two countries in 1952. for rubber products of the country. The government started a new project of giving aids to the landowners for re- There, rubber plants and fertilizers were given.",[111],['convention signed between the two countries in 1952. So there was a stable market']
"this was extended to tea plantation too. A special feature is the emergence of a group of small scale landowners as a result of the distribution of land continued by the government after gaining independence. As a result, a group of landowners who owned lands between 1-10 acres of tea and",[111],['convention signed between the two countries in 1952. So there was a stable market']
"rubber emerged in the Western, Southern and Sabaragamuwa provinces. the income of villagers in relation to major export crops increased.  Development of Small Scale Export Crops Steps were taken after gaining independence to develop the small scale export crops",[111],['convention signed between the two countries in 1952. So there was a stable market']
"such as; coffee, cocoa, cardamom, cloves, nutmeg, pepper, cinnamon in addition to the major crops such as tea, rubber and coconut. In 1968, according to the Tea Commission reports cultivation of some minor scale export crops was encouraged as additional cultivations.",[111],"['In 1968, according to the Tea Commission reports cultivation of some minor scale', 'convention signed between the two countries in 1952. So there was a stable market']"
"A minor scale export research institution was started in Matale in 1972. institutions were later started in areas like Kundasale, Delpitiya, Narammala. Some more steps were taken to expand the cultivation of small scale crops since Giving advice on cultivation, provision of fertilizers and sales promotion are",[111],"['1972. Giving advice on cultivation, provision of fertilizers and sales promotion are', 'In 1968, according to the Tea Commission reports cultivation of some minor scale', 'institutions were later started in areas like Kundasale, Delpitiya, Narammala.']"
No development took place in the industrial sector of Sri Lanka during the British administration because they used Sri Lanka as a market where they could sell their Some attention was paid on the industrial sector when labour industries and trade ministries were given to Sri Lankans under Donoughmore reforms.,"[111, 112]","['1972. Giving advice on cultivation, provision of fertilizers and sales promotion are']"
"The • After 1977 there was a rapid development in export related industries such as Sri Lanka Bank Commission that investigated into the status of the Sri Lankan garment industry because of the policies followed to attract foreign investors and to industries in 1934 had recommended starting industries to provide industrial encourage the private sector to develop export related industries. of Mega Colombo Economic Commission in 1978, establishment of export",[112],"['1972. Giving advice on cultivation, provision of fertilizers and sales promotion are', 'industries in 1934 had recommended starting industries to provide industrial encourage the private sector to develop export related industries. The establishment']"
"preparation zone at Katunayake in the same year, later the establishment of such zones in Biyagama and Koggala helped the development of the industrial sector. There were problems in exporting goods to Sri Lanka during the World War II Products like acetic acid, porcelain products, paper, soup and",[112],['industries in 1934 had recommended starting industries to provide industrial encourage the private sector to develop export related industries. The establishment']
